,GNN_Agent,EqualWeight,SPY
2024-01-22,905552.2771820902,1993117.048910642,1000000.0
2024-01-23,910634.4833065722,1999430.525877254,1000000.0
2024-01-24,904676.4326751983,2006787.118944502,1000000.0
2024-01-25,908230.0331865862,2021339.384843134,1000000.0
2024-01-26,909962.5351930192,2025026.9123120997,1000000.0
2024-01-29,912808.3779049796,2034749.1748961075,1000000.0
2024-01-30,914445.5823973764,2046301.7309536054,1000000.0
2024-01-31,909342.6666975567,2017675.9893245685,1000000.0
2024-02-01,922797.7173130946,2036329.8922849116,1000000.0
2024-02-02,922375.2757510927,2043139.7116047263,1000000.0
2024-02-05,913939.0413579451,2039347.2871934688,1000000.0
2024-02-06,920539.5191262598,2044787.032587236,1000000.0
2024-02-07,921783.8684634339,2057991.3642743316,1000000.0
2024-02-08,922039.6485411132,2059404.109815155,1000000.0
2024-02-09,921070.3368290743,2058712.3850830914,1000000.0
2024-02-12,922929.3285424209,2061598.511100547,1000000.0
2024-02-13,914425.1303956101,2036012.4888898877,1000000.0
2024-02-14,914986.9229819435,2049752.009979021,1000000.0
2024-02-15,922744.4837873768,2069323.8250844784,1000000.0
2024-02-16,925205.988606691,2061747.347339606,1000000.0
2024-02-20,933575.1131477288,2052092.1416700566,1000000.0
2024-02-21,938403.4453785848,2061508.4836133218,1000000.0
2024-02-22,944799.7506171777,2093890.0899733906,1000000.0
2024-02-23,948228.7901878132,2096672.470309576,1000000.0
2024-02-26,945616.6882940098,2094505.2965849675,1000000.0
2024-02-27,942353.9054279334,2091298.6740926148,1000000.0
2024-02-28,944702.5633270827,2086317.54294578,1000000.0
2024-02-29,938792.6282938082,2095331.5337889271,1000000.0
2024-03-01,939421.7640128555,2113717.203651566,1000000.0
2024-03-04,937398.0007211684,2115517.2069129487,1000000.0
2024-03-05,940070.4277179275,2102136.176005398,1000000.0
2024-03-06,947220.8370833353,2115209.336578059,1000000.0
2024-03-07,946964.6025717284,2131818.164466797,1000000.0
2024-03-08,944523.9462698422,2121426.6987317717,1000000.0
2024-03-11,951692.5831127962,2129026.9422921934,1000000.0
2024-03-12,956952.2396430026,2147731.805069429,1000000.0
2024-03-13,950693.6433063294,2149991.2491037613,1000000.0
2024-03-14,947890.992333985,2145032.7471272433,1000000.0
2024-03-15,942056.2394443969,2130985.7655197056,1000000.0
2024-03-18,940952.391304747,2139240.7405858613,1000000.0
2024-03-19,944047.9953256783,2150928.247517499,1000000.0
2024-03-20,948244.5235732953,2164341.8203586726,1000000.0
2024-03-21,947372.4428534828,2176809.159823369,1000000.0
2024-03-22,945042.224612574,2163784.3016564436,1000000.0
2024-03-25,943198.2769892005,2159185.753511103,1000000.0
2024-03-26,944475.463186297,2155111.5791553482,1000000.0
2024-03-27,955821.7609050635,2176083.968055956,1000000.0
2024-03-28,957116.6596835557,2185473.6118703433,1000000.0
2024-04-01,950466.2521611268,2181130.7934882995,1000000.0
2024-04-02,945132.8697177712,2172253.799263776,1000000.0
2024-04-03,936559.3004113619,2169370.2127643223,1000000.0
2024-04-04,927861.6231485226,2141665.750053886,1000000.0
2024-04-05,930430.3784373893,2159385.542639288,1000000.0
2024-04-08,927792.2618918279,2155162.758846909,1000000.0
2024-04-09,932674.5914140871,2159616.992327179,1000000.0
2024-04-10,928618.0046795784,2139299.5519301235,1000000.0
2024-04-11,924605.0272214472,2143112.391790057,1000000.0
2024-04-12,917249.0395681097,2109776.3214512146,1000000.0
2024-04-15,915187.4527716239,2095602.2208450213,1000000.0
2024-04-16,910416.3794229093,2090078.612365374,1000000.0
2024-04-17,912581.0146539573,2084000.3359464307,1000000.0
2024-04-18,914697.2588703629,2081096.8212862506,1000000.0
2024-04-19,923137.2049001732,2083571.861359375,1000000.0
2024-04-22,931833.1686204992,2102074.68770004,1000000.0
2024-04-23,932514.6924459178,2120749.2267452106,1000000.0
2024-04-24,935395.2080639136,2120242.8098921375,1000000.0
2024-04-25,927653.9325542614,2113832.1846185545,1000000.0
2024-04-26,925801.1651417135,2115980.8564673844,1000000.0
2024-04-29,927958.1239582676,2119535.724718493,1000000.0
2024-04-30,920946.5868531815,2084839.1730190828,1000000.0
2024-05-01,929392.8839741449,2068490.5050300064,1000000.0
2024-05-02,931604.8541719768,2081311.3944408244,1000000.0
2024-05-03,932586.9201262107,2093183.0541521849,1000000.0
2024-05-06,933960.4727645923,2111032.670022305,1000000.0
2024-05-07,938457.203459359,2113994.118141731,1000000.0
2024-05-08,937294.3788746629,2114259.646985879,1000000.0
2024-05-09,944039.4576126662,2128192.3112154403,1000000.0
2024-05-10,948552.5359614454,2130649.6290833508,1000000.0
2024-05-13,947735.3468712561,2128672.425220902,1000000.0
2024-05-14,944810.6858815312,2136261.363465376,1000000.0
2024-05-15,950583.4521976138,2157995.910647575,1000000.0
2024-05-16,961515.8613811838,2158340.202125738,1000000.0
2024-05-17,962696.38476348,2169295.01303636,1000000.0
2024-05-20,954462.4226883211,2158454.397338233,1000000.0
2024-05-21,955200.3534115548,2161141.8180460725,1000000.0
2024-05-22,957989.9012236617,2154044.2675940986,1000000.0
2024-05-23,942791.6534668073,2131352.974282556,1000000.0
2024-05-24,941064.7228638263,2135958.1481559062,1000000.0
2024-05-28,931266.615959333,2131936.580253135,1000000.0
2024-05-29,925979.9707409117,2105883.807825796,1000000.0
2024-05-30,929195.8675661013,2092533.663139232,1000000.0
2024-05-31,942053.4831494666,2122489.614608956,1000000.0
2024-06-03,947628.2726305787,2114856.628720393,1000000.0
2024-06-04,955368.460641334,2117904.8104215176,1000000.0
2024-06-05,954013.1578022293,2128461.508264203,1000000.0
2024-06-06,957485.6681188869,2134144.726642002,1000000.0
2024-06-07,952784.3104361277,2134904.0348699675,1000000.0
2024-06-10,956080.619226433,2136874.139308043,1000000.0
2024-06-11,955863.0481288617,2129837.6237806757,1000000.0
2024-06-12,947774.5226540059,2130640.520640205,1000000.0
2024-06-13,946115.1036738362,2131042.347190143,1000000.0
2024-06-14,946985.0445304938,2135486.9657474733,1000000.0
2024-06-17,947535.1236560708,2148134.9799674894,1000000.0
2024-06-18,948312.9019319273,2154747.877650357,1000000.0
2024-06-20,953196.316398794,2164900.354299058,1000000.0
2024-06-21,959376.6802829,2163149.6170632313,1000000.0
